nbatch	trainL	validL	elapsed	throughput
260	6.788	13.419	0.516	11.916
261	6.708	13.389	0.520	11.806
262	6.685	13.287	0.516	11.909
263	6.618	13.260	0.553	11.111
264	6.486	13.180	0.557	11.032
265	6.410	13.144	0.534	11.496
266	6.299	13.140	0.525	11.702
267	6.207	13.174	0.529	11.622
268	6.118	13.080	0.517	11.881
269	6.163	13.122	0.517	11.888
270	6.083	13.038	0.523	11.750
271	6.077	13.019	0.522	11.773
272	5.981	13.139	0.519	11.836
273	6.149	13.199	0.516	11.906
274	6.143	13.144	0.517	11.885
275	6.090	13.127	0.516	11.904
276	6.007	13.233	0.515	11.919
277	5.875	13.153	0.524	11.726
278	5.892	13.023	0.519	11.845
279	5.868	13.040	0.537	11.436
280	5.826	13.161	0.578	10.630
281	5.903	13.248	0.574	10.708
282	5.898	13.324	0.553	11.120
283	5.892	13.286	0.535	11.479
284	5.879	13.505	0.524	11.736
285	5.995	13.448	0.517	11.878
286	6.003	13.468	0.519	11.842
287	6.003	13.321	0.517	11.889
288	5.977	13.327	0.516	11.901
289	5.883	13.265	0.516	11.897
290	5.861	13.283	0.516	11.905
291	5.815	13.465	0.517	11.894
292	5.870	13.317	0.516	11.909
293	5.755	13.393	0.521	11.801
294	5.674	13.390	0.531	11.571
295	5.649	13.355	0.519	11.846
296	5.734	13.416	0.526	11.674
297	5.723	13.459	0.523	11.755
298	5.640	13.506	0.518	11.850
299	5.561	13.481	0.553	11.107
300	5.573	13.468	0.526	11.673
301	5.511	13.372	0.522	11.760
302	5.444	13.343	0.517	11.894
303	5.335	13.370	0.548	11.217
304	5.238	13.337	0.536	11.458
305	5.227	13.429	0.518	11.869
306	5.264	13.490	0.516	11.901
307	5.497	13.476	0.519	11.828
308	5.599	13.510	0.528	11.628
309	5.591	13.431	0.516	11.917
310	5.661	13.427	0.534	11.503
311	5.704	13.399	0.529	11.619
312	5.754	13.402	0.519	11.839
313	5.659	13.346	0.536	11.453
314	5.681	13.433	0.517	11.880
315	5.610	13.363	0.516	11.912
316	5.553	13.451	0.517	11.873
317	5.453	13.411	0.516	11.908
318	5.392	13.383	0.516	11.910
319	5.313	13.406	0.518	11.856
320	5.219	13.379	0.516	11.914
321	5.102	13.488	0.560	10.973
322	4.991	13.580	0.578	10.637
323	4.954	13.630	0.575	10.694
324	4.906	13.719	0.565	10.866
325	4.834	13.726	0.541	11.358
326	4.854	13.704	0.530	11.597
327	4.827	13.779	0.526	11.687
328	4.821	13.792	0.520	11.811
329	4.749	13.813	0.518	11.871
330	4.714	13.745	0.557	11.032
331	4.747	13.881	0.548	11.217
332	4.870	13.798	0.534	11.498
333	4.832	13.990	0.523	11.739
334	4.835	13.974	0.518	11.853
335	4.733	14.041	0.526	11.683
336	4.725	14.224	0.516	11.901
337	4.746	14.298	0.516	11.897
338	4.853	14.395	0.520	11.814
339	4.983	14.309	0.517	11.891
340	5.105	14.238	0.516	11.916
341	5.070	14.213	0.518	11.860
342	5.257	14.382	0.516	11.906
343	5.263	14.259	0.518	11.863
344	5.255	14.213	0.516	11.900
345	5.290	14.126	0.518	11.869
346	5.320	14.174	0.518	11.863
347	5.311	13.914	0.517	11.889
348	5.306	13.834	0.562	10.929
349	5.286	13.756	0.552	11.134
350	5.299	13.715	0.546	11.243
351	5.345	13.748	0.568	10.824
352	5.285	13.665	0.555	11.067
353	5.272	13.649	0.536	11.467
354	5.164	13.572	0.521	11.784
355	5.007	13.454	0.569	10.795
356	4.861	13.415	0.545	11.280
357	4.832	13.421	0.530	11.599
358	4.753	13.320	0.522	11.776
359	4.650	13.343	0.518	11.872
360	4.664	13.448	0.517	11.889
361	4.746	13.456	0.518	11.861
362	4.676	13.540	0.516	11.902
363	4.696	13.575	0.519	11.846
364	4.716	13.582	0.519	11.840
365	4.646	13.716	0.518	11.870
366	4.602	13.717	0.558	11.014
367	4.494	13.794	0.548	11.212
368	4.392	13.799	0.540	11.383
369	4.291	13.792	0.530	11.601
370	4.205	13.933	0.518	11.856
371	4.225	13.977	0.517	11.884
372	4.203	13.897	0.537	11.435
373	4.172	13.917	0.518	11.870
374	4.126	14.062	0.516	11.897
375	4.239	14.208	0.516	11.902
376	4.353	14.285	0.516	11.906
377	4.395	14.517	0.518	11.872
378	4.484	14.470	0.517	11.875
379	4.567	14.365	0.518	11.852
380	4.521	14.374	0.532	11.554
381	4.513	14.477	0.544	11.303
382	4.500	14.219	0.520	11.821
383	4.499	14.406	0.516	11.901
384	4.640	14.264	0.516	11.909
385	4.642	14.157	0.516	11.898
386	4.687	14.068	0.518	11.869
387	4.653	13.937	0.517	11.892
388	4.593	13.936	0.519	11.845
389	4.595	13.937	0.516	11.916
390	4.579	13.857	0.517	11.885
391	4.480	13.893	0.516	11.901
392	4.431	13.896	0.517	11.886
393	4.404	13.807	0.524	11.719
394	4.405	13.844	0.519	11.843
395	4.363	13.957	0.539	11.394
396	4.352	14.070	0.560	10.974
397	4.412	14.100	0.533	11.537
398	4.433	14.162	0.548	11.220
399	4.586	14.261	0.562	10.933
400	4.594	14.197	0.520	11.815
401	4.590	14.201	0.536	11.457
402	4.418	14.111	0.545	11.265
403	4.417	14.009	0.518	11.866
404	4.346	13.961	0.517	11.892
405	4.351	13.970	0.517	11.877
406	4.404	14.089	0.516	11.902
407	4.298	14.027	0.519	11.841
408	4.171	13.948	0.516	11.905
409	4.152	14.001	0.520	11.808
410	4.196	13.922	0.543	11.310
411	4.278	13.896	0.561	10.945
412	4.142	13.979	0.518	11.863
413	4.108	13.922	0.523	11.753
414	4.046	13.837	0.518	11.871
415	4.113	13.731	0.551	11.145
416	4.147	13.729	0.563	10.906
417	4.133	13.696	0.521	11.798
418	4.157	13.722	0.531	11.562
419	4.148	13.733	0.524	11.721
420	4.148	13.750	0.518	11.855
421	4.071	13.822	0.535	11.476
422	4.025	14.001	0.520	11.813
423	3.933	14.086	0.520	11.810
424	3.898	14.068	0.522	11.772
425	3.871	14.158	0.527	11.660
426	3.760	14.270	0.519	11.830
427	3.735	14.318	0.538	11.426
428	3.685	14.291	0.545	11.269
429	3.639	14.246	0.523	11.740
430	3.681	14.435	0.520	11.820
431	3.649	14.388	0.520	11.811
432	3.628	14.561	0.522	11.769
433	3.589	14.519	0.520	11.815
434	3.607	14.543	0.563	10.912
435	3.559	14.562	0.572	10.738
436	3.562	14.465	0.537	11.440
437	3.645	14.504	0.521	11.787
438	3.719	14.472	0.528	11.637
439	3.733	14.561	0.522	11.772
440	3.667	14.683	0.520	11.819
441	3.726	14.764	0.522	11.761
442	3.903	14.904	0.527	11.652
443	3.995	14.765	0.526	11.670
444	4.100	14.814	0.526	11.681
445	4.070	14.842	0.553	11.119
446	4.052	14.606	0.522	11.776
447	4.014	14.414	0.515	11.919
448	3.990	14.297	0.517	11.875
449	3.978	14.224	0.516	11.902
450	3.945	14.277	0.516	11.898
451	3.977	14.164	0.524	11.722
452	3.995	14.177	0.516	11.902
453	4.014	14.285	0.543	11.313
454	4.008	14.252	0.558	11.001
455	3.930	14.189	0.530	11.592
456	3.845	14.139	0.544	11.292
457	3.824	14.027	0.560	10.966
458	3.797	13.999	0.526	11.678
459	3.768	13.934	0.525	11.705
460	3.710	13.920	0.521	11.794
461	3.656	13.853	0.532	11.555
462	3.640	13.780	0.562	10.929
463	3.750	13.928	0.528	11.641
464	3.751	13.969	0.560	10.977
465	3.796	14.243	0.539	11.394
466	3.898	14.515	0.518	11.852
467	4.070	14.442	0.516	11.903
468	4.132	14.406	0.516	11.897
469	4.143	14.253	0.516	11.912
470	4.160	14.170	0.516	11.916
471	4.096	14.201	0.533	11.534
472	4.054	14.232	0.542	11.333
