nbatch	trainL	validL	elapsed	throughput
569	11.488	19.158	0.602	20.400
570	11.629	19.231	0.657	18.714
571	11.680	19.247	0.640	19.194
572	11.485	19.298	0.617	19.909
573	11.479	19.323	0.605	20.319
574	11.578	19.355	0.600	20.494
575	11.488	19.311	0.598	20.551
576	11.363	19.269	0.597	20.585
577	11.178	19.394	0.609	20.181
578	11.106	19.443	0.603	20.366
579	10.993	19.401	0.649	18.929
580	10.971	19.412	0.630	19.514
581	10.945	19.415	0.610	20.159
582	11.076	19.548	0.603	20.387
583	11.160	19.729	0.599	20.504
584	11.519	19.529	0.610	20.159
585	11.584	19.423	0.606	20.272
586	11.358	19.261	0.601	20.458
587	11.153	19.193	0.600	20.477
588	11.044	19.129	0.611	20.101
589	11.061	19.224	0.600	20.485
590	11.017	19.319	0.602	20.423
591	11.273	19.279	0.676	18.174
592	11.237	19.220	0.644	19.074
593	11.160	19.366	0.614	19.999
594	11.025	19.281	0.604	20.328
595	10.841	19.258	0.600	20.495
596	10.759	19.248	0.620	19.813
597	10.735	19.462	0.612	20.085
598	10.807	19.384	0.601	20.462
599	10.916	19.347	0.654	18.793
600	10.818	19.321	0.636	19.333
601	10.762	19.262	0.617	19.917
602	10.729	19.253	0.604	20.342
603	10.679	19.191	0.599	20.505
604	10.847	19.227	0.598	20.562
605	11.002	19.256	0.598	20.564
606	11.050	19.105	0.650	18.908
607	11.028	19.172	0.630	19.515
608	10.943	19.092	0.608	20.217
609	10.806	19.127	0.602	20.396
610	10.745	19.138	0.599	20.525
611	10.731	18.972	0.609	20.164
612	10.654	18.916	0.605	20.306
613	10.682	18.887	0.599	20.497
614	10.696	18.965	0.599	20.530
615	10.713	18.958	0.608	20.227
616	10.634	19.022	0.598	20.560
617	10.575	19.100	0.600	20.483
618	10.439	19.099	0.671	18.323
619	10.316	19.137	0.631	19.461
620	10.303	19.196	0.613	20.050
621	10.308	19.160	0.604	20.333
622	10.308	19.174	0.599	20.507
623	10.233	19.176	0.599	20.498
624	10.118	19.287	0.616	19.939
625	10.115	19.177	0.606	20.288
626	10.087	19.280	0.601	20.439
627	10.212	19.278	0.610	20.159
628	10.330	19.361	0.664	18.520
629	10.504	19.358	0.636	19.328
630	10.713	19.467	0.619	19.858
631	10.718	19.257	0.604	20.346
632	10.586	19.109	0.602	20.415
633	10.436	19.152	0.598	20.554
634	10.299	19.126	0.605	20.302
635	10.223	19.129	0.603	20.372
636	10.182	19.029	0.679	18.097
637	10.166	19.201	0.645	19.048
638	10.263	19.208	0.610	20.150
639	10.292	19.223	0.604	20.352
640	10.220	19.073	0.599	20.516
641	10.204	18.953	0.598	20.532
642	10.080	19.152	0.604	20.339
643	10.042	19.132	0.599	20.500
644	10.086	19.245	0.659	18.655
645	10.121	19.166	0.652	18.859
646	9.959	19.146	0.627	19.598
647	9.804	19.216	0.607	20.239
648	9.705	19.293	0.601	20.455
649	9.570	19.273	0.598	20.533
650	9.611	19.279	0.597	20.580
651	9.679	19.339	0.609	20.178
652	9.675	19.411	0.607	20.250
653	9.722	19.421	0.634	19.367
654	9.833	19.526	0.616	19.943
655	9.838	19.482	0.604	20.356
656	9.822	19.546	0.619	19.848
657	9.851	19.448	0.609	20.176
658	9.797	19.658	0.600	20.467
659	9.767	19.645	0.598	20.534
660	9.722	19.592	0.597	20.569
661	9.541	19.438	0.600	20.489
662	9.463	19.462	0.658	18.677
663	9.394	19.315	0.626	19.636
664	9.390	19.455	0.607	20.249
